"Date","Price","Open","High","Low","Change %"
"09/19/2024","3.770","3.736","3.808","3.708","0.75%"
"09/18/2024","3.742","3.672","3.751","3.654","1.77%"
"09/17/2024","3.677","3.657","3.690","3.614","0.50%"
"09/16/2024","3.658","3.646","3.683","3.635","-0.23%"
"09/13/2024","3.667","3.646","3.694","3.638","-0.93%"
"09/12/2024","3.702","3.680","3.704","3.631","0.53%"
"09/11/2024","3.682","3.736","3.736","3.635","-1.41%"
"09/10/2024","3.735","3.766","3.796","3.704","-0.91%"
"09/09/2024","3.769","3.790","3.840","3.742","-1.31%"
"09/06/2024","3.819","3.819","3.849","3.738","-0.14%"
"09/05/2024","3.824","3.844","3.849","3.788","-0.61%"
"09/04/2024","3.848","3.899","3.899","3.818","-1.24%"
"09/03/2024","3.896","3.955","3.956","3.846","-1.49%"
"09/02/2024","3.955","3.906","3.966","3.906","0.47%"
"08/30/2024","3.936","3.934","3.938","3.872","-0.03%"
"08/29/2024","3.938","3.902","3.951","3.880","0.25%"
"08/28/2024","3.928","3.902","3.935","3.870","0.26%"
"08/27/2024","3.918","3.863","3.941","3.839","2.02%"
"08/26/2024","3.840","3.840","3.840","3.840","-0.66%"
"08/23/2024","3.865","3.904","3.913","3.833","-1.08%"
"08/22/2024","3.908","3.840","3.908","3.808","1.82%"
"08/21/2024","3.838","3.859","3.884","3.812","-0.62%"
"08/20/2024","3.862","3.859","3.885","3.832","0.07%"
"08/19/2024","3.859","3.850","3.884","3.813","-0.25%"
"08/16/2024","3.869","3.858","3.878","3.805","0.24%"
"08/15/2024","3.860","3.781","3.868","3.756","2.25%"
"08/14/2024","3.774","3.822","3.825","3.737","-1.37%"
"08/13/2024","3.827","3.847","3.866","3.793","-0.53%"
"08/12/2024","3.847","3.858","3.898","3.821","-0.80%"
"08/09/2024","3.878","3.912","3.912","3.832","-0.89%"
"08/08/2024","3.913","3.876","3.918","3.827","0.73%"
"08/07/2024","3.885","3.863","3.910","3.834","0.60%"
"08/06/2024","3.862","3.826","3.871","3.776","0.73%"
"08/05/2024","3.834","3.767","3.838","3.672","1.00%"
"08/02/2024","3.796","3.849","3.850","3.736","-1.17%"
"08/01/2024","3.841","3.918","3.919","3.796","-2.18%"
"07/31/2024","3.926","3.977","3.977","3.901","-1.58%"
"07/30/2024","3.989","4.001","4.017","3.946","-0.33%"
"07/29/2024","4.002","4.017","4.043","3.947","-0.93%"
"07/26/2024","4.040","4.074","4.115","3.994","-0.90%"
"07/25/2024","4.076","4.098","4.100","4.008","-0.54%"
"07/24/2024","4.099","4.069","4.103","4.025","0.78%"
"07/23/2024","4.067","4.110","4.112","4.039","-1.11%"
"07/22/2024","4.113","4.044","4.114","4.027","1.26%"
"07/19/2024","4.062","4.008","4.064","3.981","1.35%"
"07/18/2024","4.008","4.015","4.025","3.954","-0.19%"
"07/17/2024","4.015","3.989","4.036","3.974","0.72%"
"07/16/2024","3.986","4.046","4.046","3.963","-1.31%"
"07/15/2024","4.039","4.025","4.063","4.004","-0.21%"
"07/12/2024","4.048","4.019","4.087","4.013","0.67%"
"07/11/2024","4.021","4.068","4.113","3.993","-1.22%"
"07/10/2024","4.071","4.091","4.091","4.012","-0.50%"
"07/09/2024","4.091","4.054","4.109","4.032","0.95%"
"07/08/2024","4.052","4.053","4.102","4.024","-0.62%"
"07/05/2024","4.078","4.132","4.132","4.044","-1.33%"
"07/04/2024","4.133","4.106","4.138","4.079","0.55%"
"07/03/2024","4.110","4.146","4.179","4.068","-1.52%"
"07/02/2024","4.174","4.207","4.207","4.120","-0.71%"
"07/01/2024","4.204","4.090","4.212","4.090","2.25%"
"06/28/2024","4.111","4.073","4.123","4.030","0.87%"
"06/27/2024","4.076","4.079","4.115","4.033","-0.06%"
"06/26/2024","4.078","4.024","4.086","4.003","1.25%"
"06/25/2024","4.028","4.021","4.029","3.959","0.00%"
"06/24/2024","4.028","3.993","4.033","3.970","0.37%"
"06/21/2024","4.013","3.993","4.027","3.920","0.56%"
"06/20/2024","3.991","4.008","4.036","3.941","-0.41%"
"06/19/2024","4.008","3.987","4.027","3.954","0.65%"
"06/18/2024","3.982","4.044","4.052","3.957","-1.62%"
"06/17/2024","4.047","3.975","4.060","3.975","1.23%"
"06/14/2024","3.998","4.088","4.088","3.964","-2.03%"
"06/13/2024","4.081","4.087","4.142","4.054","-0.18%"
"06/12/2024","4.088","4.232","4.232","4.062","-3.48%"
"06/11/2024","4.236","4.285","4.286","4.194","-1.11%"
"06/10/2024","4.283","4.183","4.284","4.183","1.85%"
"06/07/2024","4.206","4.116","4.214","4.091","2.15%"
"06/06/2024","4.117","4.130","4.151","4.087","-0.38%"
"06/05/2024","4.133","4.132","4.164","4.098","-0.04%"
"06/04/2024","4.134","4.180","4.180","4.088","-1.14%"
"06/03/2024","4.182","4.237","4.267","4.145","-1.90%"
"05/31/2024","4.263","4.291","4.318","4.217","-0.60%"
"05/30/2024","4.289","4.338","4.338","4.261","-1.16%"
